index,Hit_number,level_0,eval,bitscore,%ID,genus,species,hit_def,align_len,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1091,1,4533,1.70818e-29,155,82.73,Micromonas,species_unassigned,"Micromonas sp. RCC299 mitochondrion, complete genome",139,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,g_,s_
ASV_1092,1,4534,1.08476e-56,254,100.0,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate WZ4-6 small subunit ribosomal RNA gene, partial sequence",127,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_1093,1,6683,2.91081e-51,234,96.85,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGYY849 18S ribosomal RNA gene, partial sequence",127,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,s_
ASV_1094,1,6684,4.46045e-55,248,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGYW534 18S ribosomal RNA gene, partial sequence",124,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_1095,1,6685,1.13244e-56,254,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone AA5F14RJ1A06 18S ribosomal RNA gene, partial sequence",127,Eukaryota,unknown,Haptophyta,unassigned,unassigned,unassigned,unassigned
ASV_1096,13,4535,8.43125e-52,236,96.88,Telonema,species_unassigned,"Uncultured Telonema clone PA2009A5 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",128,Eukaryota,unknown,unknown,Telonemida,unknown,Telonema,s_
ASV_1097,37,4536,6.07091e-41,197,91.41,Gyrodinium,species_unassigned,"Gyrodinium sp. HJ-2011 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene",128,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,g_,s_
ASV_1098,1,6686,1.08476e-56,254,100.0,genus_unassigned,species_unassigned,"Uncultured stramenopile clone H3S3Ae97A 18S ribosomal RNA gene, partial sequence",127,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_1099,2,26,2.26242e-46,217,94.44,Protaspis,Protaspis sp. CC-2009c,"Protaspis sp. CC-2009c small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,Cercozoa,unknown,Thaumatomonadida,Thaumatomastigidae,g_,s_
ASV_1100,21,1305,6.41148e-47,219,94.49,Not_Found,eukaryote clone OLI11115,eukaryote clone OLI11115 18S rRNA gene,127,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1101,2,4538,4.61251e-55,249,99.21,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate YT6-18 small subunit ribosomal RNA gene, partial sequence",127,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_1102,1,6688,7.20996e-46,215,95.83,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGYT846 18S ribosomal RNA gene, partial sequence",120,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,s_
ASV_1103,1,4539,1.08476e-56,254,100.0,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate Amoeb4 small subunit ribosomal RNA gene, partial sequence",127,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_1104,1,6689,9.09993e-58,258,100.0,genus_unassigned,species_unassigned,"Cyphellophora laciniata MUCL 9569 18S rRNA gene, partial sequence; from TYPE material",129,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,unassigned,unassigned,unassigned
ASV_1105,1,1306,1.37457e-62,276,98.62,Not_Found,bacterium,"Uncultured bacterium clone SW-2G05 16S ribosomal RNA gene, partial sequence",145,Bacteria,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_1106,2,27,1.08476e-56,254,100.0,Dictyocha,Dictyocha fibula,"Dictyocha fibula gene for 18S rRNA, partial sequence",127,Eukaryota,unknown,Dictyochophyceae,Dictyochales,unknown,Dictyocha,Dictyocha fibula
ASV_1107,4,28,1.85516e-34,173,89.6,Blastodinium,Blastodinium spinulosum,"Blastodinium spinulosum isolate BCL01 18S small subunit ribosomal RNA gene, complete sequence",125,Eukaryota,unknown,Dinophyceae,Blastodiniales,unknown,g_,s_
ASV_1108,1,6690,7.63031e-59,262,100.0,genus_unassigned,species_unassigned,"Hordeum vulgare subsp. vulgare genome assembly, chromosome: 0H",131,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,unassigned,unassigned
ASV_1109,1,4540,4.46045e-55,248,100.0,Duboscquella,species_unassigned,"Uncultured Duboscquella clone 3506 18S ribosomal RNA gene, partial sequence",124,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,Duboscquella,unassigned
ASV_1110,1,1307,2.9428e-51,234,96.9,Not_Found,Cercozoa sp. WHOI LI1-14,"Cercozoa sp. WHOI LI1-14 18S ribosomal RNA gene, complete sequence",129,Eukaryota,Cercozoa,unknown,unknown,unknown,unknown,s_
ASV_1111,1,6691,1.00481e-50,233,97.62,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST8360.033 18S ribosomal RNA gene, partial sequence",126,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1112,1,6692,6.95246e-46,214,96.58,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGYP1439 18S ribosomal RNA gene, partial sequence",117,Eukaryota,Ciliophora,unassigned,unassigned,unassigned,unassigned,s_
ASV_1113,2,4541,2.84607e-45,212,92.37,Prasinoderma,species_unassigned,"Prasinoderma coloniale partial 18S rRNA gene, strain CCMP 1413",131,Eukaryota,Chlorophyta,Palmophyllophyceae,Prasinococcales,Prasinococcaceae,g_,s_
ASV_1114,1,6693,1.08476e-56,254,100.0,genus_unassigned,species_unassigned,"Uncultured diatom A4CMS20 gene for 18S rRNA, partial sequence",127,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,unassigned,unassigned
ASV_1115,1,1308,8.06828e-46,215,93.08,Not_Found,uncultured marine picoeukaryote,"uncultured marine picoeukaryote partial 18S rRNA gene, isolate ws_96, clone 1802E03",130,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1116,13,1309,6.70103e-34,171,88.0,Not_Found,Stramenopile sp. RCC862,"Stramenopile sp. RCC862 small subunit ribosomal RNA gene, partial sequence",125,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1117,1,6694,1.83197e-53,242,100.0,genus_unassigned,species_unassigned,"Uncultured marine eukaryote clone I-7-MC532-OTU-49 18S ribosomal RNA gene, partial sequence",121,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_1118,9,4542,6.41148e-47,219,94.49,Amoebophrya,species_unassigned,"Uncultured Amoebophrya clone 7906 18S ribosomal RNA gene, partial sequence",127,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1119,1,1310,6.84557e-53,240,100.0,Not_Found,uncultured marine eukaryote,"uncultured marine eukaryote partial 18S rRNA gene, isolate AA534_F13_MOC2_P_23_D",120,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_1120,1,6695,1.4747e-48,225,96.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST3900.017 18S ribosomal RNA gene, partial sequence",125,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,s_
ASV_1121,1,31,9.09993e-58,258,100.0,Katablepharis,Katablepharis remigera,"Katablepharis remigera genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene",129,Eukaryota,unknown,Katablepharidophyta,unknown,Katablepharidaceae,Katablepharis,Katablepharis remigera
ASV_1122,69,4543,2.66867e-26,143,83.33,Hematodinium,species_unassigned,"Hematodinium sp. clone EC-1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Syndiniales,Syndiniaceae,g_,s_
ASV_1123,1,6696,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Uncultured marine eukaryote clone CNCIII05_20 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Peridiniales,unassigned,unassigned,unassigned
ASV_1124,1,6697,2.46918e-39,190,91.67,genus_unassigned,species_unassigned,"Uncultured dinoflagellate clone A95F15RM4A04 18S ribosomal RNA gene, partial sequence",120,Eukaryota,unknown,Dinophyceae,Peridiniales,unassigned,g_,s_
ASV_1125,1,32,1.59364e-35,177,88.1,Bicosoeca,Bicosoeca vacillans,"Bicosoeca vacillans strain ATCC 50063 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,unknown,Bicosoecida,Bicosoecidae,g_,s_
ASV_1126,1,6698,8.33961e-52,236,98.37,genus_unassigned,species_unassigned,"Uncultured stramenopile clone AI3F14RJ2A12 18S ribosomal RNA gene, partial sequence",123,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_1127,1,6699,1.08476e-56,254,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST5960.076 18S ribosomal RNA gene, partial sequence",127,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1128,7,4544,2.00616e-34,173,86.82,Haliphthoros,species_unassigned,"Haliphthoros sp. NJM 0443 gene for 18S small subunit ribosomal RNA, partial sequence",129,Eukaryota,unknown,Oomycetes,Lagenidiales,Haliphthoraceae,g_,s_
ASV_1129,1,6700,1.35055e-55,250,100.0,genus_unassigned,species_unassigned,"Uncultured rhizarian clone AI5F15RJ2G02 18S ribosomal RNA gene, partial sequence",125,Eukaryota,Cercozoa,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1130,1,6701,5.54301e-41,197,94.17,genus_unassigned,species_unassigned,"Uncultured tintinnid ciliate clone VilleFr5_21 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",120,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,g_,s_
ASV_1131,10,33,5.20963e-29,152,87.3,Cryptosporidium,Cryptosporidium andersoni,"Cryptosporidium andersoni gene for 18S ribosomal RNA, partial sequence, isolate: Sakha101",126,Eukaryota,Apicomplexa,Conoidasida,Eucoccidiorida,Cryptosporidiidae,g_,s_
ASV_1132,1,6702,2.84683e-51,235,97.6,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGUH451 18S ribosomal RNA gene, partial sequence",125,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1133,15,4546,4.98331e-42,201,91.41,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate P2-10 small subunit ribosomal RNA gene, partial sequence",128,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1134,5,1311,1.26603e-30,158,84.5,Not_Found,Dimorpha-like sp. ATCC 50522,"Dimorpha-like sp. ATCC 50522 18S ribosomal RNA gene, complete sequence",129,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1135,1,34,5.35774e-61,270,100.0,Strongylocentrotus,Strongylocentrotus purpuratus,"PREDICTED: Strongylocentrotus purpuratus small subunit ribosomal RNA (LOC115922898), rRNA",135,Eukaryota,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus purpuratus
ASV_1136,1,6703,2.02216e-09,81,97.67,genus_unassigned,species_unassigned,"Micromonas sp. RCC299 mitochondrion, complete genome",43,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_1137,1,6704,1.93973e-53,242,98.41,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST8900.064 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_1138,1,4547,7.23511e-40,192,90.48,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate WZ8-25 small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1139,14,35,2.84683e-51,235,97.6,Takayama,Takayama cf. pulchellum,"Takayama cf. pulchellum clone 1504 18S ribosomal RNA gene, partial sequence",125,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Kareniaceae,Takayama,Takayama cf. pulchellum
ASV_1140,3,1312,1.44326e-42,203,91.47,Not_Found,uncultured marine picoeukaryote,"uncultured marine picoeukaryote partial 18S rRNA gene, isolate ws_138, clone 1804H10",129,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1141,1,6705,5.08936e-48,222,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: NAMAKO-11",111,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1142,49,1313,2.91338e-32,164,85.83,Not_Found,eukaryote clone OLI11009,eukaryote clone OLI11009 18S rRNA gene,127,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1143,1,6706,1.50917e-29,154,84.25,genus_unassigned,species_unassigned,"Spiniferites ramosus gene for 18S ribosomal RNA, partial sequence, isolate: KC51",127,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,g_,s_
ASV_1144,3,36,4.76664e-42,201,92.8,Solenicola,Solenicola setigera,"Solenicola setigera isolate FG712 18S ribosomal RNA gene, partial sequence",125,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1145,8,37,1.00481e-50,232,96.83,Proterythropsis,Proterythropsis sp. BSL-2009a,"Proterythropsis sp. BSL-2009a isolate UBC2 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,s_
ASV_1146,1,1314,6.84557e-53,240,100.0,Not_Found,uncultured marine eukaryote,"uncultured marine eukaryote partial 18S rRNA gene, isolate AA535_M17_CRYP_P_23_D",120,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_1147,1,6707,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGYO1141 18S ribosomal RNA gene, partial sequence",126,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1148,17,4549,1.2936e-36,180,89.84,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate P1-17 small subunit ribosomal RNA gene, partial sequence",128,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1149,14,1315,9.41092e-45,211,94.31,Not_Found,uncultured marine eukaryote,"uncultured marine eukaryote partial 18S rRNA gene, isolate AB525_L07_MLV3_P_41_D",123,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1150,1,6709,1.29246e-55,250,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST8360.015 18S ribosomal RNA gene, partial sequence",125,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1151,1,38,1.59223e-54,247,99.21,Prorocentrum,Prorocentrum triestinum,"Prorocentrum triestinum 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum triestinum
ASV_1152,1,6710,5.37853e-48,223,94.57,genus_unassigned,species_unassigned,"Uncultured Chlorophyta clone 10D03P44 small subunit ribosomal RNA gene, partial sequence",129,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,g_,s_
ASV_1153,5,39,8.81416e-39,188,90.48,Protoperidinium,Protoperidinium thulesense,"Protoperidinium thulesense gene for 18S rRNA, isolate: #1",126,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,g_,s_
ASV_1154,1,4550,2.17929e-52,238,100.0,Neogloboquadrina,species_unassigned,"Neogloboquadrina incompta voucher 360 clone 12 18S ribosomal RNA gene, partial sequence",119,Eukaryota,unknown,unknown,Rotaliida,Globorotaliidae,Neogloboquadrina,unassigned
ASV_1155,1,6711,1.72044e-41,199,91.34,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST6060.046 18S ribosomal RNA gene, partial sequence",127,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,g_,s_
ASV_1156,1,6712,1.122e-24,136,84.13,genus_unassigned,species_unassigned,"Symbiodinium sp. clade A isolate Cilie3 18S ribosomal RNA gene, partial sequence",126,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_1157,7,4551,2.66631e-45,213,94.44,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate HKB7-11 small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1158,1,6713,9.48985e-51,232,98.35,genus_unassigned,species_unassigned,"Strombidium sp. FG-2015d voucher LWW09052702 small subunit ribosomal RNA gene, partial sequence",121,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_1159,1,6714,2.84683e-51,235,97.6,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGUH451 18S ribosomal RNA gene, partial sequence",125,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1160,1,6715,1.4747e-48,225,96.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGUH451 18S ribosomal RNA gene, partial sequence",125,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,s_
ASV_1161,1,6716,9.09993e-58,258,100.0,genus_unassigned,species_unassigned,Talaromyces funiculosus strain X33 chromosome 7,129,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,unassigned,unassigned,unassigned
ASV_1162,1,6717,4.46045e-55,248,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST6060.033 18S ribosomal RNA gene, partial sequence",124,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_1163,1,6718,7.81079e-46,214,93.7,genus_unassigned,species_unassigned,"Uncultured eukaryote clone 10D03P39 small subunit ribosomal RNA gene, partial sequence",127,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_1164,1,6719,1.65525e-47,221,97.46,genus_unassigned,species_unassigned,"Rhabdonella hebe 18S ribosomal RNA gene, partial sequence",118,Eukaryota,Ciliophora,Spirotrichea,Tintinnida,Rhabdonellidae,unassigned,unassigned
ASV_1165,1,6720,8.61454e-52,236,96.92,genus_unassigned,species_unassigned,"Uncultured eukaryote clone NB30_23A9G 18S ribosomal RNA gene, partial sequence",130,Eukaryota,Cercozoa,unassigned,unassigned,unassigned,unassigned,s_
ASV_1166,1,41,8.34698e-33,167,86.82,Spiniferites,Spiniferites ramosus,"Spiniferites ramosus gene for 18S ribosomal RNA, partial sequence, isolate: KC51",129,Eukaryota,unknown,Dinophyceae,unknown,unknown,g_,s_
ASV_1167,2,42,1.00481e-50,232,96.83,Ensiculifera,Ensiculifera imariensis,"Ensiculifera imariensis strain GeoB 284 small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,s_
ASV_1168,17,43,2.81611e-45,212,93.65,Incisomonas,Incisomonas marina,"Incisomonas marina isolate BH65_170 small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1169,9,44,4.27255e-49,227,96.03,Warnowia,Warnowia sp. BSL-2009a,"Warnowia sp. BSL-2009a isolate Florida 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,s_
ASV_1170,4,45,3.73485e-43,205,94.17,Prorodon,Prorodon ovum,"Prorodon ovum voucher XY2009022601 small subunit ribosomal RNA gene, partial sequence",120,Eukaryota,Ciliophora,Prostomatea,Prorodontida,Prorodontidae,g_,s_
ASV_1171,1,46,4.61658e-36,179,88.19,Spiniferites,Spiniferites ramosus,"Spiniferites ramosus gene for 18S ribosomal RNA, partial sequence, isolate: KC51",127,Eukaryota,unknown,Dinophyceae,unknown,unknown,g_,s_
ASV_1172,1,6722,6.92079e-53,241,97.66,genus_unassigned,species_unassigned,"Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: CYSGM-11",128,Eukaryota,Cercozoa,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1173,1,6723,2.17929e-52,238,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGUH840 18S ribosomal RNA gene, partial sequence",119,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,unassigned,unassigned
ASV_1174,64,1316,9.51548e-45,210,93.7,Not_Found,Uncultured marine alveolate Group II DH147-EKD6,"Uncultured marine alveolate Group II DH147-EKD6 18S ribosomal RNA gene, partial sequence",127,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1175,2,4552,8.24796e-52,237,97.62,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate P1-24 small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_1176,6,1317,2.38934e-52,238,98.39,Not_Found,uncultured marine eukaryote,"uncultured marine eukaryote partial 18S rRNA gene, isolate AB204_K18_CHRH_P_47_S",124,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_1177,1,6724,1.29246e-55,250,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGYP944 18S ribosomal RNA gene, partial sequence",125,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_1178,23,47,2.80298e-38,187,92.5,Strombidium,Strombidium sp. JG-2011a,"Strombidium sp. JG-2011a clone 29 18S ribosomal RNA gene, partial sequence",120,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,g_,s_
ASV_1179,5,1318,1.12052e-56,254,100.0,Not_Found,uncultured marine eukaryote,"uncultured marine eukaryote partial 18S rRNA gene, isolate AA539_F15_MS3_H_23_D",127,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_1180,1,48,1.13244e-56,254,100.0,Pterosperma,Pterosperma cristatum,"Pterosperma cristatum isolate BH41_1 small subunit ribosomal RNA gene, partial sequence",127,Eukaryota,Chlorophyta,unknown,Pyramimonadales,unknown,Pterosperma,Pterosperma cristatum
ASV_1181,1,49,2.36308e-52,238,98.39,Protoperidinium,Protoperidinium conicum,"Protoperidinium conicum gene for 18S rRNA, partial sequence, isolate: #45 >gi|61287141|dbj|AB181886.1| Protoperidinium conicum gene for 18S rRNA, partial sequence, isolate: #56 >gi|61287142|dbj|AB181887.1| Protoperidinium conicum gene for 18S rRNA, partial sequence, isolate: #58",124,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium conicum
ASV_1182,31,4553,6.41148e-47,219,94.49,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate ZHASHANMATOU1-11 small subunit ribosomal RNA gene, partial sequence",127,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1183,40,4554,7.81079e-46,214,93.7,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate ZHASHANMATOU1-11 small subunit ribosomal RNA gene, partial sequence",127,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1184,25,50,1.89831e-34,172,88.71,Spirotontonia,Spirotontonia grandis,"Spirotontonia grandis isolate SW2013110802 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",124,Eukaryota,Ciliophora,Spirotrichea,unknown,Tontoniidae,g_,s_
ASV_1185,1,4555,1.08476e-56,254,100.0,Pseudo-nitzschia,species_unassigned,"Pseudo-nitzschia delicatissima isolate NWFSC085 18S ribosomal RNA gene, partial sequence >gi|354551323|gb|JN091710.1| Pseudo-nitzschia delicatissima isolate NWFSC089 18S ribosomal RNA gene, partial sequence >gi|354551324|gb|JN091711.1| Pseudo-nitzschia delicatissima isolate NWFSC090 18S ribosomal RNA gene, partial sequence >gi|354551327|gb|JN091714.1| Pseudo-nitzschia delicatissima isolate NWFSC118 18S ribosomal RNA gene, partial sequence >gi|354551328|gb|JN091715.1| Pseudo-nitzschia delicatissima isolate NWFSC129 18S ribosomal RNA gene, partial sequence",127,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_1186,1,51,4.61251e-55,249,99.21,Spiniferites,Spiniferites ramosus,"Spiniferites ramosus gene for 18S ribosomal RNA, partial sequence, isolate: KC51",127,Eukaryota,unknown,Dinophyceae,unknown,unknown,Spiniferites,Spiniferites ramosus
ASV_1187,4,52,9.62005e-45,211,92.97,Cryothecomonas,Cryothecomonas aestivalis,"Cryothecomonas aestivalis strain 1 small subunit ribosomal RNA gene, complete sequence",128,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,g_,s_
ASV_1188,1,4556,3.74457e-56,252,100.0,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate WLB2-35 small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_1189,1,4557,3.74457e-56,252,100.0,Chattonella,species_unassigned,"Chattonella minima genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, strain: NIES848",126,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,unassigned
ASV_1190,1,4559,6.99602e-53,240,98.4,Haliphthoros,species_unassigned,"Haliphthoros sp. isolate BH46_112 small subunit ribosomal RNA gene, partial sequence",125,Eukaryota,unknown,Oomycetes,Lagenidiales,Haliphthoraceae,Haliphthoros,unassigned
ASV_1191,1,1319,4.71388e-55,248,98.45,Not_Found,uncultured marine picoeukaryote,"uncultured marine picoeukaryote partial 18S rRNA gene, isolate ws_138, clone 1804H10",129,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_1192,1,6726,1.0022e-37,185,90.83,genus_unassigned,species_unassigned,"Bryophryoides ocellatus 18S ribosomal RNA gene, complete sequence; macronuclear",120,Eukaryota,Ciliophora,Colpodea,Bryophryida,Bryophryidae,g_,s_
ASV_1193,1,4560,3.00943e-32,164,86.26,Neocercomonas,species_unassigned,"Neocercomonas sp. strain SF9_P_Pla small subunit ribosomal RNA gene, partial sequence",131,Eukaryota,Cercozoa,unknown,Cercomonadida,Cercomonadidae,g_,s_
ASV_1194,1,6727,2.63521e-58,260,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-52",130,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1195,7,1320,1.36507e-55,250,98.46,Not_Found,eukaryote clone OLI11072,eukaryote clone OLI11072 18S rRNA gene,130,Eukaryota,unknown,unknown,unknown,unknown,unknown,eukaryote clone OLI11072
ASV_1196,2,53,2.58142e-39,191,89.84,Rhogostoma,Rhogostoma schuessleri,"Rhogostoma schuessleri strain CCAP 1966/1 18S small subunit ribosomal RNA gene, partial sequence",128,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,g_,s_
